types,subjects,propositions,labels
atom,algebra,Any non-real number's cube is always non-real.,0
atom,algebra,Real numbers are complex numbers.,0
atom,algebra,Matrixes are always positive definite.,0
atom,algebra,The difference of a number and its square is always zero.,0
atom,algebra,The sum of any two vectors is not always a vector.,0
atom,algebra,the product of any algebraic number and a transcendental number is always algebraic.,0
atom,algebra,The sum of any two odd integers is not always even.,0
atom,algebra,The product of any two radicals is always a radical.,0
atom,algebra,The product of any number and its square is always one.,0
atom,algebra,The sum of two complex numbers is always a complex number.,0
atom,algebra,The product of two irrational numbers is always irrational.,0
atom,algebra,The difference of two vectors is not always a vector.,0
atom,algebra,The quotient of any two vectors is always a vector.,0
atom,algebra,The quotient of any two complex numbers is not always a complex number.,0
atom,algebra,An equation with non-real coefficients always has non-real solutions.,0
atom,algebra,The square of any number is always greater than the number.,0
atom,algebra,The sum of any rational and a radical is always a radical.,0
atom,algebra,the cube of any number is always greater than the number.,0
atom,algebra,the product of the roots of a polynomial is always a real number.,0
atom,algebra,the product of any two matrices is not always a matrix.,0
atom,algebra,the product of any two vectors is always a vector.,0
atom,algebra,the product of any two imaginary numbers is always an imaginary number.,0
atom,algebra,any irrational number is not a real number.,0
atom,algebra,the product of any non-zero number and its reciprocal is always negative.,0
atom,algebra,the product of any two irrational numbers is always rational.,0
atom,algebra,the quotient of any two non-integers is always a non-integer.,0
atom,algebra,the sum of any two matrices is not always a matrix.,0
atom,algebra,the product of any two polynomials with different degrees is a polynomial with a degree equal to the sum of the degrees of the factors.,0
atom,algebra,the quotient of any radical and a non-zero rational is always a radical.,0
atom,algebra,the product of any two numbers is always negative if at least one of them is negative.,0
atom,algebra,the square of any number is always less than the number.,0
atom,algebra,the product of any two non-zero numbers is always non-zero.,0
atom,algebra,the square of any negative number is always positive.,0
atom,algebra,the quotient of any algebraic number and a non-zero transcendental number is not always algebraic.,0
atom,algebra,the integral of any polynomial is not a polynomial.,0
atom,algebra,the sum of any two even integers is always odd.,0
atom,algebra,any real number is a transcendental number.,0
atom,algebra,the sum of a scalar and a matrix is not always a matrix.,0
