types,subjects,propositions,labels
implication,algebra,if the product of a scalar and a matrix is not always a matrix then the difference of the squares of a binomial is equal to the product of the binomial’s sum and difference.,1
implication,algebra,the sum of any two polynomials is always a polynomial implies the product of two complex numbers is distributive over addition and subtraction.,1
implication,algebra,"the sum of any algebraic number and a transcendental number is always algebraic, therefore, the quotient of any radical and a non-zero real number is always a real number.",1
implication,algebra,if the square of any non-zero real number is never zero then the quotient of any number and one is always the original number.,1
implication,algebra,the difference of any two positive numbers is always positive implies the difference of any complex number and its conjugate is always purely imaginary.,1
implication,algebra,"the sum of the squares of any two real numbers is always non-negative, therefore, the sum of any real number and its opposite is always zero.",1
implication,algebra,if the difference of any two odd integers is always even then the sum of any complex number and its conjugate is always real.,1
implication,algebra,An equation with non-real coefficients always has non-real solutions implies the derivative of any polynomial is not a polynomial.,1
implication,algebra,"the product of any non-zero complex number and its conjugate is always real, therefore, any diagonal matrix is always invertible.",0
implication,algebra,"if the product of two complex numbers is commutative, when one of them is real then the integral of any polynomial is not a polynomial.",0
implication,algebra,"the quotient of any two rational numbers, if the denominator is non-zero, is a rational number implies the sum of any two radicals is always a radical.",0
implication,algebra,"The product of any number and its square is always one, therefore, the difference of any two imaginary numbers is not always an imaginary number.",1
implication,algebra,if the quotient of any non-zero number and zero is undefined then the product of the roots of a polynomial is equal to the coefficient of the linear term of the polynomial.,0
implication,algebra,the product of any two polynomials with different degrees is a polynomial with a degree equal to the sum of the degrees of the factors implies the difference of any two positive numbers is always positive.,1
implication,algebra,"the square of any negative number is always positive, therefore, the product of any two numbers is always negative if at least one of them is negative.",0
implication,algebra,if the sum of a rational number and an irrational number is always irrational then the quotient of any two complex numbers is always an imaginary number.,0
implication,algebra,any matrix with a non-zero determinant is not invertible implies the sum of any two matrices is always a scalar.,1
implication,algebra,"the imaginary part of the product of any two complex numbers is equal to the product of the real part of the first number and the imaginary part of the second number plus the product of the imaginary part of the first number and the real part of the second number, therefore, the product of any two matrices is not always a matrix.",0
implication,algebra,if the degree of a polynomial with only one variable is the highest power of that variable then the sum of any two polynomials is a polynomial.,1
implication,algebra,The product of any two radicals is always a radical implies the sum of a rational number and a real number is always a real number.,1
implication,algebra,"the product of any matrix and a scalar is always a scalar, therefore, the product of any non-zero number and its reciprocal is always negative.",1
implication,algebra,"if the sum of any two complex numbers is commutative, meaning  that the order of the numbers does not affect the result then the product of a rational number and an irrational number is always irrational.",1
implication,algebra,the product of any non-zero number and its reciprocal is always negative implies the sum of any two irrational numbers is always irrational.,1
implication,algebra,"the product of radicals with the same radicand is equal to the radical of the product of the radicands, therefore, the product of the roots of a polynomial with real coefficients is always a real number.",1
implication,algebra,if a radical is in simplest form if the radicand does not contain any perfect square factors then the difference of any two matrices is not always a matrix.,0
implication,algebra,the difference of a number and itself is always zero implies the product of any two even integers is not always even.,0
